"","sp","lon","lat","oppc"
"1","haddadus_binotatus",-40.871003,-18.611125,582
"2","haddadus_binotatus",-41.0055,-20.655917,617
"3","haddadus_binotatus",-44.148056,-23.141111,NA
"4","haddadus_binotatus",-41.009589,-20.654036,617
"5","haddadus_binotatus",-40.335111,-19.818889,600
"6","haddadus_binotatus",-40.5625,-19.9425,600
"7","haddadus_binotatus",-41.851972,-20.421417,617
"8","haddadus_binotatus",-40.542222,-19.91,600
"9","haddadus_binotatus",-41.850722,-20.419389,617
"10","haddadus_binotatus",-42.235,-20.60225,616
"11","haddadus_binotatus",-40.574603,-19.886667,600
"12","haddadus_binotatus",-40.563056,-19.855,600
"13","haddadus_binotatus",-45.933333,-23.066667,660
"14","haddadus_binotatus",-42.689167,-21.234722,634
"15","haddadus_binotatus",-40.829444,-20.404722,618
"16","haddadus_binotatus",-42.768,-22.432,649
"17","haddadus_binotatus",-40.5457,-19.888753,600
"18","haddadus_binotatus",-40.659361,-20.387167,618
"19","haddadus_binotatus",-40.825694,-20.387167,618
"20","haddadus_binotatus",-47.4935,-24.373,667
"21","haddadus_binotatus",-47.478669,-20.6675,611
"22","haddadus_binotatus",-42.095278,-20.499611,616
"23","haddadus_binotatus",-40.552625,-19.668056,600
"24","haddadus_binotatus",-44.628469,-22.369822,647
"25","haddadus_binotatus",-41.121389,-20.541389,617
"26","haddadus_binotatus",-42.85863,-20.802319,616
"27","haddadus_binotatus",-40.540447,-19.965183,600
"28","haddadus_binotatus",-40.556944,-19.929167,600
"29","haddadus_binotatus",-46,-23.249167,660
"30","haddadus_binotatus",-44.855,-22.545556,647
"31","haddadus_binotatus",-46.0025,-23.249444,659
"32","haddadus_binotatus",-44.855278,-22.545,647
"33","haddadus_binotatus",-46.000278,-23.258889,659
"34","haddadus_binotatus",-46.002778,-23.248889,659
"35","haddadus_binotatus",-46.366389,-23.373333,659
"36","haddadus_binotatus",-46.3525,-23.377222,659
"37","haddadus_binotatus",-46.352222,-23.376944,659
"38","haddadus_binotatus",-46.355278,-23.376111,659
"39","haddadus_binotatus",-48.35,-23.4,657
"40","haddadus_binotatus",-41.023056,-20.401944,617
