Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.9573E-3,0.295729956,0.070612538,1,0,0
4.0662E-3,0.702350117,0.095785369,0.967741935,0,0
4.35898E-3,1.138247699,0.102317007,0.935483871,0,0
5.0108E-3,1.639327731,0.116689912,0.903225806,0,0
6.0119E-3,2.240517665,0.138317567,0.870967742,0,0
1.04393E-2,3.284442812,0.227790912,0.838709677,0,0
1.28274E-2,4.567178145,0.272131466,0.806451613,0,0
1.48689E-2,6.054069952,0.308013395,0.774193548,0,0
1.51289E-2,7.566957872,0.31245357,0.741935484,0,0
1.56337E-2,9.130330302,0.320995175,0.709677419,0,0
1.92678E-2,11.057113704,0.379429447,0.677419355,0,0
1.95703E-2,13.014143388,0.384059958,0.64516129,0,0
2.05348E-2,15.067625446,0.398596678,0.612903226,0,0
2.21737E-2,17.284991319,0.422513893,0.580645161,0,0
2.29487E-2,19.579861805,0.43349129,0.548387097,0,0
3.50784E-2,23.087702976,0.580470872,0.516129032,0.0625,0
3.51525E-2,26.602950422,0.581239568,0.483870968,0.125,0
4.09529E-2,30.698240497,0.637266984,0.451612903,0.1875,0
4.15291E-2,34.851155469,0.64240616,0.419354839,0.25,0
4.21555E-2,39.066702422,0.647909341,0.387096774,0.25,0
4.47007E-2,43.536773165,0.669415355,0.35483871,0.3125,0
4.57538E-2,48.112155115,0.677924736,0.322580645,0.375,0
4.77938E-2,52.891527211,0.693790391,0.290322581,0.4375,0
5.2613E-2,58.152836777,0.728235298,0.258064516,0.5,0
5.51348E-2,63.666320691,0.744687167,0.225806452,0.5625,0
5.51728E-2,69.183600075,0.744927009,0.193548387,0.625,0
6.047E-2,75.23059949,0.776283672,0.161290323,0.6875,0
6.10255E-2,81.333153715,0.779340188,0.129032258,0.75,0
6.11873E-2,87.451880408,0.780222092,0.096774194,0.8125,0
6.26993E-2,93.721807093,0.788298571,0.064516129,0.875,0
6.27819E-2,100,0.788731461,0.032258065,0.9375,0
