X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.028014166616836554,39.812921833741534,0.650470672646615
2.0,2.0,train,0.037114035960016445,76.17013919441217,0.7515763398908092
3.0,3.0,train,0.031567842562406176,48.702781558552616,0.694104398237472
4.0,4.0,train,0.037506208163366146,83.6622712773883,0.7552052200485543
5.0,5.0,train,0.027815662909113224,37.01099279064864,0.647857518718326
6.0,6.0,train,0.023850255560331855,26.283363902393685,0.5913623791069751
7.0,7.0,train,0.040586994569029956,95.53874009550337,0.7819289924697925
8.0,8.0,train,0.02612669638312606,31.459307950173923,0.624818280907329
9.0,9.0,train,0.02771083058952364,34.23122113785809,0.6464696051880077
10.0,10.0,train,0.03974144934235279,91.48030353875835,0.7748992923714217
11.0,11.0,train,0.03843684211433055,87.50605006301134,0.7636059048724494
12.0,12.0,train,0.04461233836997219,100.0,0.8124999948757505
13.0,13.0,train,0.03741918438669769,79.91142531639905,0.7544045682503194
14.0,14.0,train,0.02849332570031288,42.6629461152094,0.6566988271015257
15.0,15.0,train,0.032923586077160547,61.693539911994954,0.7092764879980404
16.0,16.0,train,0.025629464766768643,28.84660656435444,0.6177526252286689
17.0,17.0,train,0.022828414126752638,19.23362957340092,0.5753900326499155
18.0,18.0,train,0.035775661388341665,68.76920662325212,0.7387820663804068
19.0,19.0,train,0.02354483372826082,23.898948600103157,0.5866523487061874
20.0,20.0,train,0.028829176125188767,45.54543824046208,0.6609979703255365
21.0,21.0,train,0.023106895472457673,21.544164347386968,0.5798038419028312
22.0,22.0,train,0.03286423625607431,58.4039625672611,0.7086283349242706
23.0,23.0,train,0.036889155674176485,72.45814786192288,0.7494712420353542
24.0,24.0,train,0.03497501390803767,65.19187514478173,0.7308153629899328
25.0,25.0,train,0.008306586224243462,5.3254269853926415,0.2677883974918115
