x,y,species cloglog values
1.0,1.0,0.01621945
2.0,2.0,0.03919629
3.0,3.0,0.02198315
4.0,4.0,0.06813465
5.0,5.0,0.013586317
6.0,6.0,0.014621756
7.0,7.0,0.02137741
8.0,8.0,0.022184318
9.0,9.0,0.12636837
10.0,10.0,0.01556525
11.0,11.0,0.0049859225
12.0,12.0,0.014975532
13.0,13.0,0.030777138
14.0,14.0,0.040650453
15.0,15.0,0.69685906
16.0,16.0,0.30439663
17.0,17.0,2.3619943E-4
18.0,18.0,0.0033123926
19.0,19.0,0.48360443
20.0,20.0,0.03643404
21.0,21.0,1.4555147E-4
22.0,22.0,0.41612124
23.0,23.0,0.36691922
24.0,24.0,3.7213526E-4
25.0,25.0,0.055206303
26.0,26.0,0.16870204
27.0,27.0,7.445892E-4
28.0,28.0,0.026537389
29.0,29.0,0.001482255
30.0,30.0,0.01620024
31.0,31.0,0.0038145322
32.0,32.0,0.36446685
33.0,33.0,0.7453609
34.0,34.0,0.0017208391
35.0,35.0,0.010509921
36.0,36.0,0.13537109
37.0,37.0,0.026009489
38.0,38.0,6.561646E-4
39.0,39.0,1.3289986E-4
40.0,40.0,0.8640231
41.0,41.0,0.047745444
42.0,42.0,0.027730824
43.0,43.0,0.0010118382
44.0,44.0,0.005555927
45.0,45.0,0.031648595
46.0,46.0,0.45620254
47.0,47.0,0.15145153
48.0,48.0,0.0062911236
49.0,49.0,0.27109525
50.0,50.0,0.05880338
51.0,51.0,0.19532631
52.0,52.0,0.099316284
53.0,53.0,0.014180059
54.0,54.0,0.70478845
55.0,55.0,0.14108543
56.0,56.0,0.023899855
57.0,57.0,0.49838367
58.0,58.0,0.19339097
59.0,59.0,0.020118684
60.0,60.0,0.08501396
61.0,61.0,2.2472077E-4
62.0,62.0,0.036029126
63.0,63.0,0.0048431554
64.0,64.0,3.975712E-4
65.0,65.0,0.047470093
66.0,66.0,0.048320435
67.0,67.0,0.0025860087
68.0,68.0,0.44234517
69.0,69.0,0.059005637
70.0,70.0,7.757684E-4
71.0,71.0,0.279421
72.0,72.0,0.4163117
73.0,73.0,0.007946151
74.0,74.0,0.014889767
75.0,75.0,0.03291303
76.0,76.0,0.06263798
77.0,77.0,0.43826038
78.0,78.0,3.729283E-4
79.0,79.0,0.09601464
80.0,80.0,0.026219413
81.0,81.0,0.07119373
82.0,82.0,0.21116194
83.0,83.0,0.07721395
84.0,84.0,0.02328689
85.0,85.0,0.18784457
86.0,86.0,0.0014094384
87.0,87.0,0.0012704819
88.0,88.0,7.6071493E-4
89.0,89.0,2.8905363E-4
90.0,90.0,0.022263013
91.0,91.0,0.011316461
92.0,92.0,0.054285202
93.0,93.0,0.06965557
94.0,94.0,0.33876398
95.0,95.0,0.84877604
96.0,96.0,0.0056618317
97.0,97.0,0.0134305125
98.0,98.0,0.46214512
99.0,99.0,0.4695856
100.0,100.0,0.23299347
101.0,101.0,0.6920328
102.0,102.0,0.37649328
103.0,103.0,0.011213743
104.0,104.0,3.688984E-4
105.0,105.0,2.446107E-4
106.0,106.0,0.14323927
107.0,107.0,0.0024233025
108.0,108.0,2.0496655E-4
109.0,109.0,0.9430124
110.0,110.0,0.88757336
111.0,111.0,1.5642359E-4
112.0,112.0,0.056296404
113.0,113.0,0.03754447
114.0,114.0,0.0016643475
115.0,115.0,0.29105312
116.0,116.0,0.010868452
117.0,117.0,0.0371952
118.0,118.0,0.01618233
119.0,119.0,0.22264297
120.0,120.0,0.1020305
121.0,121.0,0.012181943
122.0,122.0,0.09779054
123.0,123.0,0.1217668
124.0,124.0,0.00365118
125.0,125.0,0.14601861
126.0,126.0,0.01010405
127.0,127.0,0.055852015
128.0,128.0,0.018459389
129.0,129.0,0.026625464
130.0,130.0,0.32723832
131.0,131.0,0.064208895
132.0,132.0,3.9328015E-4
133.0,133.0,0.18192299
134.0,134.0,0.14259231
135.0,135.0,0.13127443
136.0,136.0,0.023301054
137.0,137.0,0.025807783
138.0,138.0,0.014554147
139.0,139.0,1.7835767E-4
140.0,140.0,0.21809891
141.0,141.0,0.011573188
142.0,142.0,0.0060169636
143.0,143.0,0.048266888
144.0,144.0,0.015794804
145.0,145.0,0.6126132
146.0,146.0,0.005943789
147.0,147.0,0.48102337
148.0,148.0,0.0143090505
