sp	long	lat	base
macrogenioglottus_alipioi	-48.36	-24.090278	gbif
macrogenioglottus_alipioi	-40.071944	-19.391111	gbif
macrogenioglottus_alipioi	-40.072222	-19.391111	gbif
macrogenioglottus_alipioi	-40.072222	-19.391111	gbif
macrogenioglottus_alipioi	-40.600278	-19.935556	gbif
macrogenioglottus_alipioi	-40.600278	-19.935556	gbif
macrogenioglottus_alipioi	-45.069722	-23.430278	gbif
macrogenioglottus_alipioi	-40.6	-19.9167	gbif
macrogenioglottus_alipioi	-40.6	-19.9167	gbif
macrogenioglottus_alipioi	-42.31667	-19.83333	gbif
macrogenioglottus_alipioi	-40.600278	-19.935556	gbif
macrogenioglottus_alipioi	-40.600278	-19.935556	gbif
macrogenioglottus_alipioi	-40.600278	-19.935556	gbif
macrogenioglottus_alipioi	-40.600278	-19.935556	vertnet
macrogenioglottus_alipioi	-40.600278	-19.935556	vertnet
macrogenioglottus_alipioi	-40.600278	-19.935556	vertnet
macrogenioglottus_alipioi	-40.600278	-19.935556	vertnet
macrogenioglottus_alipioi	-40.600278	-19.935556	vertnet
macrogenioglottus_alipioi	-40.072222	-19.391111	vertnet
macrogenioglottus_alipioi	-40.072222	-19.391111	vertnet
macrogenioglottus_alipioi	-45.069722	-23.430278	vertnet
macrogenioglottus_alipioi	-40.071944	-19.391111	vertnet
macrogenioglottus_alipioi	-48.36	-24.090278	vertnet
macrogenioglottus_alipioi	-42.31667	-19.83333	vertnet
macrogenioglottus_alipioi	-40.072222	-19.391111	idigbio
macrogenioglottus_alipioi	-40.600278	-19.935556	idigbio
macrogenioglottus_alipioi	-39.04944	-14.78889	idigbio
macrogenioglottus_alipioi	-40.600278	-19.935556	idigbio
macrogenioglottus_alipioi	-40.600278	-19.935556	idigbio
macrogenioglottus_alipioi	-40.072222	-19.391111	idigbio
macrogenioglottus_alipioi	-40.600278	-19.935556	idigbio
macrogenioglottus_alipioi	-39.04944	-14.78889	idigbio
macrogenioglottus_alipioi	-40.600278	-19.935556	idigbio
macrogenioglottus_alipioi	-42.31667	-19.83333	idigbio
