sp	long	lat	base
myersiella_microps	-40.928444	-20.168667	gbif
myersiella_microps	-40.600278	-19.935556	gbif
myersiella_microps	-47.919722	-24.38	gbif
myersiella_microps	-40.6	-19.9167	gbif
myersiella_microps	-40.6	-19.91667	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-42.98	-22.43	gbif
myersiella_microps	-45.48599	-23.55285	gbif
myersiella_microps	-43.450833	-22.759444	gbif
myersiella_microps	-43.450833	-22.759444	gbif
myersiella_microps	-43.450833	-22.759444	gbif
myersiella_microps	-44.5	-22.38333	gbif
myersiella_microps	-42.9833	-22.4333	gbif
myersiella_microps	-42.98333	-22.43333	gbif
myersiella_microps	-42.98333	-22.43333	gbif
myersiella_microps	-42.98333	-22.43333	gbif
myersiella_microps	-42.98333	-22.43333	vertnet
myersiella_microps	-42.98333	-22.43333	vertnet
myersiella_microps	-42.98333	-22.43333	vertnet
myersiella_microps	-45.48599	-23.55285	vertnet
myersiella_microps	-43.450833	-22.759444	vertnet
myersiella_microps	-43.450833	-22.759444	vertnet
myersiella_microps	-43.450833	-22.759444	vertnet
myersiella_microps	-47.919722	-24.38	vertnet
myersiella_microps	-40.600278	-19.935556	vertnet
myersiella_microps	-40.928444	-20.168667	vertnet
myersiella_microps	-44.5	-22.38333	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-42.9833	-22.4333	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-40.6	-19.9167	vertnet
myersiella_microps	-42.98	-22.43	vertnet
myersiella_microps	-43.45111	-22.75917	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-42.53111	-22.28194	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-42.39167	-22.65083	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-45.40972	-23.76	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-45.07111	-23.43389	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-44.04056	-22.95972	idigbio
myersiella_microps	-40.60028	-19.93556	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-42.65306	-22.4625	idigbio
myersiella_microps	-42.98333	-22.43333	idigbio
myersiella_microps	-42.81861	-22.91944	idigbio
myersiella_microps	-42.98333	-22.43333	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-40.928444	-20.168667	idigbio
myersiella_microps	-43.45111	-22.75917	idigbio
myersiella_microps	-40.09778	-19.19694	idigbio
myersiella_microps	-43.45111	-22.75917	idigbio
myersiella_microps	-45.48599	-23.55285	idigbio
myersiella_microps	-42.65306	-22.4625	idigbio
myersiella_microps	-40.6	-19.9167	idigbio
myersiella_microps	-44.5	-22.38333	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-40.600278	-19.935556	idigbio
myersiella_microps	-42.53111	-22.28194	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-42.65306	-22.4625	idigbio
myersiella_microps	-42.39167	-22.65083	idigbio
myersiella_microps	-43.2075	-22.90278	idigbio
myersiella_microps	-43.36222	-19.82611	idigbio
myersiella_microps	-44.13556	-22.72306	idigbio
myersiella_microps	-42.65306	-22.4625	idigbio
myersiella_microps	-42.98333	-22.43333	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-42.65306	-22.4625	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-42.6	-22.4	idigbio
myersiella_microps	-42.81861	-22.91944	idigbio
myersiella_microps	-43.36222	-19.82611	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-43.45111	-22.75917	idigbio
myersiella_microps	-43.2075	-22.90278	idigbio
myersiella_microps	-42.98	-22.43	idigbio
myersiella_microps	-44.31806	-23.00667	idigbio
myersiella_microps	-42.9833	-22.4333	idigbio
myersiella_microps	-42.53111	-22.28194	idigbio
