sp	long	lat	base
proceratophrys_boiei	-45.933333	-23.066667	gbif
proceratophrys_boiei	-40.54216	-19.909611	gbif
proceratophrys_boiei	-48.371389	-24.097778	gbif
proceratophrys_boiei	-49.964917	-25.064361	gbif
proceratophrys_boiei	-38.255317	-12.476093	gbif
proceratophrys_boiei	-40.518611	-19.906944	gbif
proceratophrys_boiei	-40.518333	-19.9075	gbif
proceratophrys_boiei	-44.855	-22.545	gbif
proceratophrys_boiei	-44.855556	-22.545833	gbif
proceratophrys_boiei	-44.855556	-22.544722	gbif
proceratophrys_boiei	-41.023056	-20.401944	gbif
proceratophrys_boiei	-45.31	-23.22	gbif
proceratophrys_boiei	-45.31	-23.22	gbif
proceratophrys_boiei	-45.31	-23.22	gbif
proceratophrys_boiei	-48.36	-24.090278	gbif
proceratophrys_boiei	-40.600278	-19.935556	gbif
proceratophrys_boiei	-40.600278	-19.935556	gbif
proceratophrys_boiei	-40.746111	-20.040556	gbif
proceratophrys_boiei	-40.541667	-19.412778	gbif
proceratophrys_boiei	-41.184722	-20.603611	gbif
proceratophrys_boiei	-47.419722	-23.71	gbif
proceratophrys_boiei	-48.34	-24	gbif
proceratophrys_boiei	-47.419722	-23.71	gbif
proceratophrys_boiei	-40.600278	-19.935556	gbif
proceratophrys_boiei	-42.139444	-19.790556	gbif
proceratophrys_boiei	-42.139444	-19.790556	gbif
proceratophrys_boiei	-42.139444	-19.790556	gbif
proceratophrys_boiei	-42.139444	-19.790556	gbif
proceratophrys_boiei	-43.178333	-22.505	gbif
proceratophrys_boiei	-43.178333	-22.505	gbif
proceratophrys_boiei	-43.178333	-22.505	gbif
proceratophrys_boiei	-46.549722	-23.110278	gbif
proceratophrys_boiei	-48.759722	-24.22	gbif
proceratophrys_boiei	-48.34	-24	gbif
proceratophrys_boiei	-48.34	-24	gbif
proceratophrys_boiei	-37.41667	-11.41667	gbif
proceratophrys_boiei	-40.600278	-19.935556	gbif
proceratophrys_boiei	-42.139444	-19.790556	gbif
proceratophrys_boiei	-49.378333	-26.250556	gbif
proceratophrys_boiei	-48.759722	-24.22	gbif
proceratophrys_boiei	-48.759722	-24.22	gbif
proceratophrys_boiei	-42.965556	-22.412222	gbif
proceratophrys_boiei	-46.83	-23	gbif
proceratophrys_boiei	-46.83	-23	gbif
