lon,lat
-40.545556,-19.888611
-40.871003,-18.611125
-41.0055,-20.655917
-40.638333,-20.455556
-40.57,-20.326389
-40.335111,-19.818889
-41.851972,-20.421417
-42.235,-20.60225
-45.933333,-23.066667
-40.829444,-20.404722
-42.689167,-21.234722
-42.768,-22.432
-47.4935,-24.373
-47.478669,-20.6675
-42.095278,-20.499611
-40.552625,-19.668056
-44.628469,-22.369822
-42.85863,-20.802319
-46,-23.249167
-44.855,-22.545556
-46.0025,-23.249444
-46.366389,-23.373333
-48.35,-23.4
-41.023056,-20.401944
-39.844167,-18.355278
-40.526389,-20.042778
-40.8,-20.533333
-39.734167,-14.138056
-40.471111,-20.551667
-48.36,-24.090278
-40.363333,-18.126944
-45.31,-23.22
-40.746111,-20.040556
-40.072222,-19.391111
-46.188056,-23.523056
-40.416667,-20.266667
-45.88,-23.39
-41.366667,-21.065
-40.645556,-20.805833
-40.406667,-19.9325
-45.069722,-23.430278
-40.273333,-19.820278
-40.307778,-20.128611
-57.5788,-18.8068
-47.549722,-24.700278
-41.868611,-20.931667
-37.41667,-11.41667
-47.06,-22.9
-39.280278,-14.785833
-47.919722,-24.38
-46.389722,-23.96
-39.3167,-15.0946
-45.83,-23.63
-45.84,-23.530278
-46.529722,-23.66
-41.184722,-20.603611
-47.13,-23.3
-54.83,-23.63
-49.2164,-26.7333
-46.88,-23.180278
-48.93,-26.2
-45.325205,-21.936627
-43.2075,-22.90278
-42.51028,-22.92
-43.35,-22.9167
-39.07306,-13.37028
-42.65306,-22.4625
-43.41528,-19.95944
-43.45111,-22.75917
-42.81861,-22.91944
-43.31167,-22.78556
-46.6,-23.4
-39.04944,-14.78889
-44.44667,-22.46889
-42.96556,-22.41222
-48.32889,-25.30667
-39.02472,-16.27806
-41.112778,-20.848889
-48.77889,-22.19306
-42.53889,-21.77056
-42.53111,-22.28194
-41.66111,-22.18722
-43.36222,-19.82611
-38.94722,-15.675
-44.13556,-22.72306
-44.10417,-22.52306
-39.06472,-16.44972
-39.49139,-13.60167
-48.2666667,-24.3
-48.00222,-24.6925
-48.77861,-27.68806
-42.98028,-20.87417
-42.06639,-22.06333
-43.4075,-20.07472
-42.20417,-22.48056
-43.10361,-22.88333
-39.53111,-17.03917
-42.02778,-22.96611
-39.732222,-18.593333
-44.27389,-20.04917
-41.19833,-20.91417
-43.05778,-22.0025
-39.3025,-15.56306
-42.73222,-19.71222
-43.17861,-22.505
-42.00139,-20.12389
-48.9175,-27.09806
-44.29028,-22.41972
-43.78611,-20.66028
-43.4975,-20.69
-42.9097222,-21.9577778
-42.52167,-22.05111
-42.98194,-22.53722
-43.70028,-22.24556
-43.04056,-22.65278
-41.28472,-13.41056
-42.14861,-20.61444
-45.22972,-22.84694
