"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.08323333 0.851239669421488 0.727272727272727
"haddadus_binotatus02" 0.08323333 0.950413223140496 0.818181818181818
"haddadus_binotatus03" 0.04156667 0.772727272727273 0.545454545454545
"haddadus_binotatus04" 0.08323333 0.892561983471074 0.727272727272727
"haddadus_binotatus05" 0.04156667 0.785123966942149 0.545454545454545
"haddadus_binotatus06" 0.08323333 0.851239669421488 0.727272727272727
"haddadus_binotatus07" 0.08323333 0.93801652892562 0.818181818181818
"haddadus_binotatus08" 0.04156667 0.772727272727273 0.545454545454545
"haddadus_binotatus09" 0.04156667 0.747933884297521 0.454545454545455
"haddadus_binotatus10" 0.08323333 0.942148760330578 0.818181818181818
