"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.53892463 0.756198347107438 0.545454545454545
"haddadus_binotatus02" 0.43437812 0.975206611570248 0.818181818181818
"haddadus_binotatus03" 0.40795687 0.892561983471074 0.727272727272727
"haddadus_binotatus04" 0.52348178 0.925619834710744 0.727272727272727
"haddadus_binotatus05" 0.3588347 0.776859504132231 0.545454545454545
"haddadus_binotatus06" 0.5469903 0.925619834710744 0.818181818181818
"haddadus_binotatus07" 0.52337856 0.966942148760331 0.909090909090909
"haddadus_binotatus08" 0.30846561 0.84297520661157 0.545454545454545
"haddadus_binotatus09" 0.56185497 0.900826446280992 0.727272727272727
"haddadus_binotatus10" 0.37934718 0.87603305785124 0.727272727272727
