"thrs" "AUC" "TSS"
"haddadus_binotatus01" -1.99629904 0.677685950413223 0.454545454545455
"haddadus_binotatus02" -0.23333499 0.958677685950413 0.818181818181818
"haddadus_binotatus03" -0.72108896 0.834710743801653 0.636363636363636
"haddadus_binotatus04" -0.00542148 0.834710743801653 0.636363636363636
"haddadus_binotatus05" -2.22171454 0.752066115702479 0.545454545454545
"haddadus_binotatus06" -0.29324445 0.818181818181818 0.727272727272727
"haddadus_binotatus07" 0.3787526 0.801652892561983 0.636363636363636
"haddadus_binotatus08" -2.98634854 0.809917355371901 0.545454545454545
"haddadus_binotatus09" -2.61270819 0.785123966942149 0.636363636363636
"haddadus_binotatus10" -0.00215147 0.958677685950413 0.818181818181818
