"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.57242032 0.892561983471074 0.727272727272727
"haddadus_binotatus02" 0.45857625 0.950413223140496 0.909090909090909
"haddadus_binotatus03" 0.35040604 0.909090909090909 0.727272727272727
"haddadus_binotatus04" 0.4560702 0.867768595041322 0.818181818181818
"haddadus_binotatus05" 0.57727833 0.909090909090909 0.727272727272727
"haddadus_binotatus06" 0.45361911 0.909090909090909 0.818181818181818
"haddadus_binotatus07" 0.63043179 0.975206611570248 0.818181818181818
"haddadus_binotatus08" 0.52401038 0.975206611570248 0.909090909090909
"haddadus_binotatus09" 0.43403252 0.917355371900826 0.818181818181818
"haddadus_binotatus10" 0.58744897 0.991735537190083 0.909090909090909
