"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.63763539 0.84297520661157 0.636363636363636
"haddadus_binotatus02" 0.56167056 0.867768595041322 0.818181818181818
"haddadus_binotatus03" 0.33039679 0.892561983471074 0.727272727272727
"haddadus_binotatus04" 0.36673063 0.84297520661157 0.727272727272727
"haddadus_binotatus05" 0.74750303 0.933884297520661 0.727272727272727
"haddadus_binotatus06" 0.52673383 0.917355371900826 0.818181818181818
"haddadus_binotatus07" 0.52776023 0.942148760330578 0.818181818181818
"haddadus_binotatus08" 0.59040392 0.950413223140496 0.909090909090909
"haddadus_binotatus09" 0.53859038 0.892561983471074 0.818181818181818
"haddadus_binotatus10" 0.29677546 0.925619834710744 0.818181818181818
