names,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10
X.Training.samples,25,25,25,25,25,25,25,25,25,25
Regularized.training.gain,0.3364,0.3294,0.3177,0.3415,0.2554,0.3262,0.3033,0.2864,0.3437,0.348
Unregularized.training.gain,0.4531,0.4289,0.4198,0.4444,0.3475,0.4319,0.4078,0.3876,0.4664,0.4486
Iterations,180,240,260,200,200,160,320,180,200,240
Training.AUC,0.7342,0.7332,0.7331,0.73,0.7086,0.7282,0.7246,0.7238,0.742,0.734
X.Background.points,48,50,49,48,49,49,48,48,49,50
bio14.contribution,24.6648,24.2172,31.2788,37.8399,28.5751,14.7792,34.3453,35.4695,38.9756,52.1097
bio18.contribution,7.82,0.2628,0.2418,0.1963,19.7299,0,1.439,3.8719,0,0
bio5.contribution,67.5152,75.5199,68.4794,61.9638,51.695,85.2208,64.2158,60.6586,61.0244,47.8903
bio14.permutation.importance,21.9031,19.802,39.3214,32.9298,34.5088,8.7687,27.8027,31.9688,30,45.8462
bio18.permutation.importance,8.4381,3.3003,2.5948,4.6005,25.4408,0,0,3.1189,0,0
bio5.permutation.importance,69.6589,76.8977,58.0838,62.4697,40.0504,91.2313,72.1973,64.9123,70,54.1538
Entropy,3.5343,3.5828,3.5742,3.5298,3.6365,3.5655,3.568,3.5841,3.5481,3.564
Prevalence..average.probability.of.presence.over.background.sites.,0.4365,0.4404,0.4455,0.435,0.4766,0.4439,0.4526,0.4606,0.4353,0.4339
Fixed.cumulative.value.1.cumulative.threshold,1,1,1,1,1,1,1,1,1,1
Fixed.cumulative.value.1.Cloglog.threshold,0.0799,0.069,0.0811,0.0827,0.1141,0.0856,0.0922,0.1018,0.0912,0.0974
Fixed.cumulative.value.1.area,0.875,0.86,0.8571,0.8542,0.898,0.8367,0.8958,0.875,0.8367,0.82
Fixed.cumulative.value.1.training.omission,0,0,0,0,0,0,0,0,0,0
Fixed.cumulative.value.5.cumulative.threshold,5,5,5,5,5,5,5,5,5,5
Fixed.cumulative.value.5.Cloglog.threshold,0.2015,0.2368,0.2468,0.2075,0.2595,0.3482,0.2223,0.2416,0.2507,0.2327
Fixed.cumulative.value.5.area,0.7083,0.68,0.7143,0.6875,0.7347,0.6531,0.7083,0.7292,0.6735,0.66
Fixed.cumulative.value.5.training.omission,0,0,0,0,0,0,0,0,0,0
Fixed.cumulative.value.10.cumulative.threshold,10,10,10,10,10,10,10,10,10,10
Fixed.cumulative.value.10.Cloglog.threshold,0.2871,0.3492,0.3364,0.3327,0.3507,0.3929,0.3951,0.3487,0.3773,0.4617
Fixed.cumulative.value.10.area,0.5833,0.58,0.6122,0.5625,0.6327,0.5918,0.5833,0.625,0.5714,0.58
Fixed.cumulative.value.10.training.omission,0.04,0.04,0.04,0.04,0.04,0,0.04,0.04,0,0
Minimum.training.presence.cumulative.threshold,7.2347,5.7127,6.3314,6.7505,6.6052,11.7645,6.9484,6.9189,13.2401,14.8788
Minimum.training.presence.Cloglog.threshold,0.2504,0.2368,0.2566,0.24,0.282,0.4207,0.2664,0.2861,0.4798,0.5146
Minimum.training.presence.area,0.6458,0.68,0.6735,0.625,0.6939,0.5714,0.6458,0.6667,0.551,0.52
Minimum.training.presence.training.omission,0,0,0,0,0,0,0,0,0,0
X10.percentile.training.presence.cumulative.threshold,18.9962,17.9875,19.3998,16.4088,17.4086,15.5585,17.1752,18.6642,21.7143,19.0304
X10.percentile.training.presence.Cloglog.threshold,0.5368,0.544,0.5328,0.4996,0.5547,0.5316,0.563,0.5463,0.5615,0.5204
X10.percentile.training.presence.area,0.4583,0.5,0.4694,0.4792,0.5306,0.5306,0.5208,0.5208,0.449,0.48
X10.percentile.training.presence.training.omission,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Equal.training.sensitivity.and.specificity.cumulative.threshold,36.0299,38.6553,36.7565,36.5097,39.1743,39.502,38.6161,41.7148,37.6979,35.8622
Equal.training.sensitivity.and.specificity.Cloglog.threshold,0.6488,0.6376,0.6334,0.6472,0.6522,0.6481,0.6413,0.6453,0.6364,0.6365
Equal.training.sensitivity.and.specificity.area,0.3542,0.32,0.3469,0.3542,0.3673,0.3469,0.3333,0.3333,0.3469,0.36
Equal.training.sensitivity.and.specificity.training.omission,0.36,0.32,0.36,0.36,0.36,0.36,0.32,0.36,0.36,0.36
Maximum.training.sensitivity.plus.specificity.cumulative.threshold,16.7507,15.8046,19.3998,16.4088,17.4086,13.4137,14.8399,16.4701,21.7143,14.8788
Maximum.training.sensitivity.plus.specificity.Cloglog.threshold,0.5205,0.5023,0.5328,0.4996,0.5547,0.4419,0.4969,0.4849,0.5615,0.5146
Maximum.training.sensitivity.plus.specificity.area,0.4792,0.5,0.4694,0.4792,0.5306,0.5306,0.5417,0.5208,0.449,0.52
Maximum.training.sensitivity.plus.specificity.training.omission,0.04,0.04,0.08,0.08,0.08,0.04,0.04,0.04,0.08,0
Balance.training.omission..predicted.area.and.threshold.value.cumulative.threshold,6.3936,5.7127,6.3314,6.7505,6.6052,4.1661,6.9484,6.9189,4.7118,5.2462
Balance.training.omission..predicted.area.and.threshold.value.Cloglog.threshold,0.2145,0.2368,0.2566,0.24,0.282,0.1947,0.2664,0.2861,0.2358,0.2327
Balance.training.omission..predicted.area.and.threshold.value.area,0.6667,0.68,0.6735,0.625,0.6939,0.6939,0.6458,0.6667,0.6939,0.66
Balance.training.omission..predicted.area.and.threshold.value.training.omission,0,0,0,0,0,0,0,0,0,0
Equate.entropy.of.thresholded.and.original.distributions.cumulative.threshold,5.0056,4.9614,5.5,4.5048,4.9408,3.5537,4.6183,4.3576,4.7118,3.8411
Equate.entropy.of.thresholded.and.original.distributions.Cloglog.threshold,0.2015,0.1963,0.2468,0.1988,0.2407,0.168,0.222,0.2317,0.2358,0.1929
Equate.entropy.of.thresholded.and.original.distributions.area,0.7083,0.7,0.7143,0.7083,0.7551,0.7143,0.7292,0.75,0.6939,0.7
Equate.entropy.of.thresholded.and.original.distributions.training.omission,0,0,0,0,0,0,0,0,0,0
