names,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10
X.Training.samples,25,25,25,25,25,25,25,25,25,25
Regularized.training.gain,0.2788,0.2262,0.2368,0.2435,0.2871,0.2494,0.2453,0.1723,0.2924,0.1931
Unregularized.training.gain,0.4002,0.3102,0.2995,0.345,0.3957,0.3281,0.3238,0.2582,0.4129,0.3102
Iterations,180,160,140,180,140,100,120,200,180,220
Training.AUC,0.7241,0.7029,0.7013,0.7036,0.7228,0.7086,0.7061,0.6764,0.7045,0.7092
X.Background.points,49,49,48,50,50,49,49,50,49,50
bio14.contribution,15.4507,9.4334,5.4534,11.123,12.7711,12.6426,14.8907,19.665,7.9602,25.6511
bio18.contribution,0,5.7001,0.0302,6.1523,15.8205,0,0,0.4094,0.2789,15.5967
bio5.contribution,84.5493,84.8665,94.5164,82.7247,71.4084,87.3574,85.1093,79.9256,91.7609,58.7522
bio14.permutation.importance,22.3438,11.5721,4.6771,17.0213,17.1053,20.2624,11.8217,14.433,13.4981,50
bio18.permutation.importance,0,0.8734,0.4454,7.6596,12.7193,0,0,0,0,9.1667
bio5.permutation.importance,77.6562,87.5546,94.8775,75.3191,70.1754,79.7376,88.1783,85.567,86.5019,40.8333
Entropy,3.6127,3.6656,3.6346,3.6686,3.6249,3.642,3.6462,3.7396,3.5994,3.7188
Prevalence..average.probability.of.presence.over.background.sites.,0.4687,0.4918,0.4857,0.4836,0.462,0.4799,0.4829,0.5228,0.4627,0.5097
Fixed.cumulative.value.1.cumulative.threshold,1,1,1,1,1,1,1,1,1,1
Fixed.cumulative.value.1.Cloglog.threshold,0.2086,0.1193,0.1727,0.171,0.0982,0.0988,0.0978,0.1435,0.1137,0.1655
Fixed.cumulative.value.1.area,0.8163,0.898,0.8958,0.88,0.86,0.898,0.8776,0.9,0.8163,0.92
Fixed.cumulative.value.1.training.omission,0,0,0,0,0,0,0,0,0,0
Fixed.cumulative.value.5.cumulative.threshold,5,5,5,5,5,5,5,5,5,5
Fixed.cumulative.value.5.Cloglog.threshold,0.315,0.2371,0.2502,0.2337,0.2678,0.2458,0.3069,0.3426,0.2952,0.2327
Fixed.cumulative.value.5.area,0.7143,0.7755,0.7708,0.74,0.7,0.7347,0.7347,0.78,0.6735,0.78
Fixed.cumulative.value.5.training.omission,0,0,0.04,0.04,0,0.04,0.04,0.04,0,0
Fixed.cumulative.value.10.cumulative.threshold,10,10,10,10,10,10,10,10,10,10
Fixed.cumulative.value.10.Cloglog.threshold,0.4137,0.4306,0.3425,0.3915,0.4751,0.3953,0.4056,0.4401,0.5107,0.3914
Fixed.cumulative.value.10.area,0.6327,0.6531,0.6458,0.64,0.6,0.6327,0.6531,0.7,0.6122,0.68
Fixed.cumulative.value.10.training.omission,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0.04
Minimum.training.presence.cumulative.threshold,13.7819,7.2123,1.9563,3.5464,5.3254,3.8415,2.4198,3.7644,14.2413,6.7788
Minimum.training.presence.Cloglog.threshold,0.505,0.258,0.1797,0.2165,0.2678,0.205,0.1808,0.2669,0.5208,0.2789
Minimum.training.presence.area,0.5918,0.6939,0.875,0.78,0.68,0.7551,0.7959,0.82,0.551,0.74
Minimum.training.presence.training.omission,0,0,0,0,0,0,0,0,0,0
X10.percentile.training.presence.cumulative.threshold,20.105,19.6519,14.9401,21.1602,21.5442,15.9784,19.0548,23.2401,19.3271,19.0103
X10.percentile.training.presence.Cloglog.threshold,0.5556,0.5333,0.4127,0.5561,0.5798,0.5157,0.5596,0.5876,0.6062,0.5562
X10.percentile.training.presence.area,0.5102,0.551,0.5625,0.5,0.48,0.551,0.551,0.56,0.5306,0.58
X10.percentile.training.presence.training.omission,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Equal.training.sensitivity.and.specificity.cumulative.threshold,43.3,38.4985,42.3789,42.1967,39.8134,43.6885,40.2296,42.6626,39.5414,44.7324
Equal.training.sensitivity.and.specificity.Cloglog.threshold,0.6729,0.6385,0.6698,0.7005,0.6505,0.6599,0.6442,0.6591,0.6707,0.6746
Equal.training.sensitivity.and.specificity.area,0.3469,0.3878,0.3542,0.36,0.36,0.3469,0.3673,0.38,0.3878,0.36
Equal.training.sensitivity.and.specificity.training.omission,0.36,0.4,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
Maximum.training.sensitivity.plus.specificity.cumulative.threshold,20.105,15.8577,13.5351,21.1602,19.2335,22.3717,16.9154,21.1352,14.2413,27.1935
Maximum.training.sensitivity.plus.specificity.Cloglog.threshold,0.5556,0.4852,0.404,0.5561,0.5754,0.582,0.546,0.5658,0.5208,0.5977
Maximum.training.sensitivity.plus.specificity.area,0.5102,0.5714,0.5833,0.5,0.5,0.4898,0.551,0.58,0.551,0.48
Maximum.training.sensitivity.plus.specificity.training.omission,0.08,0.04,0.04,0.08,0.04,0.12,0.04,0.04,0,0.12
Balance.training.omission..predicted.area.and.threshold.value.cumulative.threshold,3.4323,7.2123,1.9563,3.5464,5.3254,3.8415,2.4198,3.7644,4.6694,6.7788
Balance.training.omission..predicted.area.and.threshold.value.Cloglog.threshold,0.247,0.258,0.1797,0.2165,0.2678,0.205,0.1808,0.2669,0.2008,0.2789
Balance.training.omission..predicted.area.and.threshold.value.area,0.7551,0.6939,0.875,0.78,0.68,0.7551,0.7959,0.82,0.6939,0.74
Balance.training.omission..predicted.area.and.threshold.value.training.omission,0,0,0,0,0,0,0,0,0,0
Equate.entropy.of.thresholded.and.original.distributions.cumulative.threshold,3.4323,4.3279,5.2559,3.5464,3.7062,3.8415,3.6228,3.0266,3.445,4.0015
Equate.entropy.of.thresholded.and.original.distributions.Cloglog.threshold,0.247,0.2269,0.2502,0.2165,0.1797,0.205,0.216,0.2526,0.2002,0.2098
Equate.entropy.of.thresholded.and.original.distributions.area,0.7551,0.7959,0.7708,0.78,0.74,0.7755,0.7755,0.84,0.7347,0.82
Equate.entropy.of.thresholded.and.original.distributions.training.omission,0,0,0.04,0,0,0,0.04,0,0,0
