"","sp","lon","lat","oppc"
"1","haddadus_binotatus",-40.545556,-19.888611,21674
"2","haddadus_binotatus",-40.546028,-19.889361,21674
"3","haddadus_binotatus",-40.871003,-18.611125,20800
"4","haddadus_binotatus",-41.0055,-20.655917,22099
"5","haddadus_binotatus",-40.638333,-20.455556,21996
"6","haddadus_binotatus",-44.148056,-23.141111,NA
"7","haddadus_binotatus",-40.57,-20.326389,21889
"8","haddadus_binotatus",-41.009589,-20.654036,22099
"9","haddadus_binotatus",-40.335111,-19.818889,21567
"10","haddadus_binotatus",-40.5625,-19.9425,21674
"11","haddadus_binotatus",-41.851972,-20.421417,21988
"12","haddadus_binotatus",-40.542222,-19.91,21674
"13","haddadus_binotatus",-41.850722,-20.419389,21988
"14","haddadus_binotatus",-42.235,-20.60225,22092
"15","haddadus_binotatus",-40.574603,-19.886667,21674
"16","haddadus_binotatus",-40.563056,-19.855,21674
"17","haddadus_binotatus",-45.933333,-23.066667,23496
"18","haddadus_binotatus",-40.829444,-20.404722,21995
"19","haddadus_binotatus",-42.689167,-21.234722,22503
"20","haddadus_binotatus",-42.768,-22.432,23187
"21","haddadus_binotatus",-40.5457,-19.888753,21674
"22","haddadus_binotatus",-40.659361,-20.387167,21996
"23","haddadus_binotatus",-40.825694,-20.387167,21995
"24","haddadus_binotatus",-47.4935,-24.373,23944
"25","haddadus_binotatus",-47.478669,-20.6675,22167
"26","haddadus_binotatus",-42.095278,-20.499611,21987
"27","haddadus_binotatus",-40.552625,-19.668056,21566
"28","haddadus_binotatus",-44.628469,-22.369822,23176
"29","haddadus_binotatus",-41.121389,-20.541389,22099
"30","haddadus_binotatus",-42.85863,-20.802319,22194
"31","haddadus_binotatus",-40.540447,-19.965183,21674
"32","haddadus_binotatus",-40.556944,-19.929167,21674
"33","haddadus_binotatus",-46,-23.249167,23561
"34","haddadus_binotatus",-44.855,-22.545556,23257
"35","haddadus_binotatus",-46.0025,-23.249444,23560
"36","haddadus_binotatus",-44.855278,-22.545,23257
"37","haddadus_binotatus",-46.000278,-23.258889,23560
"38","haddadus_binotatus",-46.002778,-23.248889,23560
"39","haddadus_binotatus",-46.366389,-23.373333,23624
"40","haddadus_binotatus",-46.3525,-23.377222,23624
"41","haddadus_binotatus",-46.352222,-23.376944,23624
"42","haddadus_binotatus",-46.355278,-23.376111,23624
"43","haddadus_binotatus",-48.35,-23.4,23612
"44","haddadus_binotatus",-41.023056,-20.401944,21993
"45","haddadus_binotatus",-39.844167,-18.355278,20698
"46","haddadus_binotatus",-40.526389,-20.042778,21781
"47","haddadus_binotatus",-40.52,-19.96,21674
"48","haddadus_binotatus",-40.521944,-20.281111,21889
"49","haddadus_binotatus",-40.8,-20.533333,22101
"50","haddadus_binotatus",-39.734167,-14.138056,17568
"51","haddadus_binotatus",-40.471111,-20.551667,22103
"52","haddadus_binotatus",-48.36,-24.090278,23847
"53","haddadus_binotatus",-40.801667,-20.550833,22101
"54","haddadus_binotatus",-40.600278,-19.935556,21674
"55","haddadus_binotatus",-40.363333,-18.126944,20479
"56","haddadus_binotatus",-45.31,-23.22,23565
"57","haddadus_binotatus",-40.600278,-19.936389,21674
"58","haddadus_binotatus",-40.746111,-20.040556,21780
"59","haddadus_binotatus",-40.659167,-20.363333,21996
"60","haddadus_binotatus",-40.072222,-19.391111,21349
"61","haddadus_binotatus",-46.188056,-23.523056,23688
"62","haddadus_binotatus",-40.529722,-20.100556,21781
"63","haddadus_binotatus",-40.416667,-20.266667,21890
"64","haddadus_binotatus",-40.466667,-20.266667,21890
"65","haddadus_binotatus",-46.13,-23.850278,NA
"66","haddadus_binotatus",-45.88,-23.39,23627
"67","haddadus_binotatus",-40.42,-20.263889,21890
"68","haddadus_binotatus",-41.366667,-21.065,22409
"69","haddadus_binotatus",-40.645556,-20.805833,22208
"70","haddadus_binotatus",-40.406667,-19.9325,21675
"71","haddadus_binotatus",-45.069722,-23.430278,23632
"72","haddadus_binotatus",-40.533333,-19.95,21674
"73","haddadus_binotatus",-40.273333,-19.820278,21568
"74","haddadus_binotatus",-40.307778,-20.128611,21783
"75","haddadus_binotatus",-48.34,-24,23847
"76","haddadus_binotatus",-40.071944,-19.391111,21349
"77","haddadus_binotatus",-57.5788,-18.8068,20808
"78","haddadus_binotatus",-47.549722,-24.700278,24029
"79","haddadus_binotatus",-41.868611,-20.931667,22304
"80","haddadus_binotatus",-37.41667,-11.41667,15209
"81","haddadus_binotatus",-47.06,-22.9,23407
"82","haddadus_binotatus",-39.280278,-14.785833,18084
"83","haddadus_binotatus",-47.919722,-24.38,23941
"84","haddadus_binotatus",-40.600278,-19.935833,21674
"85","haddadus_binotatus",-46.389722,-23.96,23808
