"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.33323333 0.909090909090909 0.818181818181818
"haddadus_binotatus02" 0.08323333 0.752066115702479 0.454545454545455
"haddadus_binotatus03" 0.08323333 0.665289256198347 0.272727272727273
"haddadus_binotatus04" 0.16656667 0.946280991735537 0.818181818181818
"haddadus_binotatus05" 0.16656667 0.644628099173554 0.272727272727273
"haddadus_binotatus06" 0.33323333 0.913223140495868 0.727272727272727
"haddadus_binotatus07" 0.08323333 0.892561983471074 0.818181818181818
"haddadus_binotatus08" 0.08323333 0.809917355371901 0.636363636363636
"haddadus_binotatus09" 0.16656667 0.871900826446281 0.727272727272727
"haddadus_binotatus10" 0.08323333 0.859504132231405 0.545454545454545
