"thrs" "AUC" "TSS"
"haddadus_binotatus_all01" 0.1199 0.743801652892562 0.545454545454545
"haddadus_binotatus_all02" 0.0799 0.822314049586777 0.545454545454545
"haddadus_binotatus_all03" 0.0799 0.979338842975207 0.909090909090909
"haddadus_binotatus_all04" 0.0799 0.743801652892562 0.545454545454545
"haddadus_binotatus_all05" 0.1599 0.652892561983471 0.363636363636364
"haddadus_binotatus_all06" 0.1599 0.855371900826446 0.636363636363636
"haddadus_binotatus_all07" 0.3199 0.805785123966942 0.545454545454545
"haddadus_binotatus_all08" 0.1599 0.851239669421488 0.727272727272727
"haddadus_binotatus_all09" 0.0799 0.785123966942149 0.545454545454545
"haddadus_binotatus_all10" 0.1599 0.652892561983471 0.363636363636364
