"thrs" "AUC" "TSS"
"haddadus_binotatus_part01" 0.2499 0.459183673469388 0.142857142857143
"haddadus_binotatus_part02" 0.2499 0.908163265306122 0.714285714285714
"haddadus_binotatus_part03" 0.2499 0.663265306122449 0.428571428571429
"haddadus_binotatus_part04" 0.1249 0.785714285714286 0.571428571428571
"haddadus_binotatus_part05" 0.3749 0.724489795918367 0.571428571428571
"haddadus_binotatus_part06" 0.1249 0.897959183673469 0.714285714285714
"haddadus_binotatus_part07" 0.1249 0.714285714285714 0.428571428571429
"haddadus_binotatus_part08" 0.1249 0.73469387755102 0.428571428571429
"haddadus_binotatus_part09" 0.1249 0.877551020408163 0.571428571428571
"haddadus_binotatus_part10" 0.1249 0.816326530612245 0.571428571428571
