"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.05623491 0.918367346938776 0.742857142857143
"haddadus_binotatus02" -1.98886917 0.895510204081633 0.714285714285714
"haddadus_binotatus03" 0.99093236 0.960816326530612 0.8
"haddadus_binotatus04" -0.57357539 0.933877551020408 0.742857142857143
"haddadus_binotatus05" 0.25354821 0.924897959183673 0.714285714285714
"haddadus_binotatus06" -0.85543749 0.929795918367347 0.828571428571429
"haddadus_binotatus07" -1.73968477 0.96 0.828571428571429
"haddadus_binotatus08" 0.38582954 0.95265306122449 0.885714285714286
"haddadus_binotatus09" 0.44768792 0.942857142857143 0.742857142857143
"haddadus_binotatus10" -0.4087219 0.935510204081633 0.771428571428571
