"thrs" "AUC" "TSS"
"haddadus_binotatus01" -0.1874468 0.842448979591837 0.657142857142857
"haddadus_binotatus02" -1.43366979 0.844897959183673 0.628571428571429
"haddadus_binotatus03" 0.12988344 0.884897959183673 0.714285714285714
"haddadus_binotatus04" -0.82899083 0.908571428571429 0.771428571428571
"haddadus_binotatus05" -0.80443094 0.895510204081633 0.714285714285714
"haddadus_binotatus06" -0.15868057 0.883265306122449 0.771428571428571
"haddadus_binotatus07" -0.30487562 0.862857142857143 0.657142857142857
"haddadus_binotatus08" -0.01954297 0.942857142857143 0.8
"haddadus_binotatus09" -0.58222045 0.867755102040816 0.6
"haddadus_binotatus10" -0.24159488 0.914285714285714 0.742857142857143
