"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.3799238 0.764462809917355 0.545454545454545
"haddadus_binotatus02" 0.54542279 0.735537190082645 0.454545454545455
"haddadus_binotatus03" 0.36332547 0.756198347107438 0.727272727272727
"haddadus_binotatus04" 0.418562 0.793388429752066 0.545454545454545
"haddadus_binotatus05" 0.47558148 0.826446280991736 0.636363636363636
"haddadus_binotatus06" 0.31156874 0.818181818181818 0.545454545454545
"haddadus_binotatus07" 0.40250234 0.776859504132231 0.545454545454545
"haddadus_binotatus08" 0.61950399 0.90495867768595 0.727272727272727
"haddadus_binotatus09" 0.41999214 0.809917355371901 0.636363636363636
"haddadus_binotatus10" 0.30686748 0.87603305785124 0.818181818181818
