"thrs" "AUC" "TSS"
"haddadus_binotatus_all01" 0.53241701 0.859504132231405 0.727272727272727
"haddadus_binotatus_all02" 0.57016196 0.809917355371901 0.545454545454545
"haddadus_binotatus_all03" 0.46257544 0.966942148760331 0.818181818181818
"haddadus_binotatus_all04" 0.52366117 0.776859504132231 0.636363636363636
"haddadus_binotatus_all05" 0.30864373 0.59504132231405 0.363636363636364
"haddadus_binotatus_all06" 0.59391237 0.797520661157025 0.545454545454545
"haddadus_binotatus_all07" 0.56704025 0.880165289256198 0.636363636363636
"haddadus_binotatus_all08" 0.45375885 0.793388429752066 0.545454545454545
"haddadus_binotatus_all09" 0.31841444 0.669421487603306 0.363636363636364
"haddadus_binotatus_all10" 0.30038859 0.768595041322314 0.636363636363636
