"thrs" "AUC" "TSS"
"haddadus_binotatus_part01" 0.41873011 0.428571428571429 0.142857142857143
"haddadus_binotatus_part02" 0.4660444 0.979591836734694 0.857142857142857
"haddadus_binotatus_part03" 0.63655369 0.714285714285714 0.571428571428571
"haddadus_binotatus_part04" 0.32427267 0.836734693877551 0.571428571428571
"haddadus_binotatus_part05" 0.5785656 0.673469387755102 0.428571428571428
"haddadus_binotatus_part06" 0.61642343 0.877551020408163 0.714285714285714
"haddadus_binotatus_part07" 0.35108886 0.877551020408163 0.714285714285714
"haddadus_binotatus_part08" 0.46461554 0.775510204081633 0.571428571428571
"haddadus_binotatus_part09" 0.46529425 0.836734693877551 0.571428571428571
"haddadus_binotatus_part10" 0.49184565 0.877551020408163 0.714285714285714
