"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.2758306 0.863636363636364 0.727272727272727
"haddadus_binotatus02" 0.14181571 0.636363636363636 0.363636363636364
"haddadus_binotatus03" -2.47035322 0.822314049586777 0.636363636363636
"haddadus_binotatus04" 0.11698602 0.56198347107438 0.363636363636364
"haddadus_binotatus05" -0.52165962 0.768595041322314 0.545454545454545
"haddadus_binotatus06" -1.20384776 0.735537190082645 0.636363636363636
"haddadus_binotatus07" -1.22475295 0.735537190082645 0.454545454545455
"haddadus_binotatus08" 0.39211344 0.805785123966942 0.636363636363636
"haddadus_binotatus09" -0.31244038 0.768595041322314 0.636363636363636
"haddadus_binotatus10" -0.77436366 0.826446280991736 0.636363636363636
