"thrs" "AUC" "TSS"
"haddadus_binotatus_all01" 0.03244309 0.809917355371901 0.727272727272727
"haddadus_binotatus_all02" 0.38472355 0.809917355371901 0.636363636363636
"haddadus_binotatus_all03" -0.32517649 0.909090909090909 0.727272727272727
"haddadus_binotatus_all04" -0.50457879 0.834710743801653 0.636363636363636
"haddadus_binotatus_all05" -2.43455557 0.553719008264463 0.181818181818182
"haddadus_binotatus_all06" 0.26468557 0.93801652892562 0.818181818181818
"haddadus_binotatus_all07" -0.19482657 0.805785123966942 0.545454545454545
"haddadus_binotatus_all08" -0.12116933 0.851239669421488 0.727272727272727
"haddadus_binotatus_all09" -0.78759147 0.785123966942149 0.545454545454545
"haddadus_binotatus_all10" -0.42061155 0.801652892561983 0.636363636363636
