"thrs" "AUC" "TSS"
"haddadus_binotatus_part01" 0.18658273 0.530612244897959 0.285714285714286
"haddadus_binotatus_part02" 0.293229 0.938775510204082 0.857142857142857
"haddadus_binotatus_part03" -0.50412561 0.775510204081633 0.571428571428571
"haddadus_binotatus_part04" -0.13868197 0.775510204081633 0.714285714285714
"haddadus_binotatus_part05" 0.26022267 0.755102040816326 0.571428571428571
"haddadus_binotatus_part06" 0.28124214 0.775510204081633 0.571428571428571
"haddadus_binotatus_part07" -0.06443159 0.877551020408163 0.714285714285714
"haddadus_binotatus_part08" 0.51548785 0.897959183673469 0.857142857142857
"haddadus_binotatus_part09" 0.24382486 0.877551020408163 0.714285714285714
"haddadus_binotatus_part10" 0.35581177 0.918367346938776 0.714285714285714
