"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.56213023 0.925619834710744 0.818181818181818
"haddadus_binotatus02" 0.61904903 0.896694214876033 0.727272727272727
"haddadus_binotatus03" 0.51352085 0.834710743801653 0.818181818181818
"haddadus_binotatus04" 0.37838526 0.983471074380165 0.909090909090909
"haddadus_binotatus05" 0.36171009 1 1
"haddadus_binotatus06" 0.58261569 0.776859504132231 0.636363636363636
"haddadus_binotatus07" 0.48278512 0.880165289256198 0.727272727272727
"haddadus_binotatus08" 0.36217551 0.859504132231405 0.818181818181818
"haddadus_binotatus09" 0.39957552 0.975206611570248 0.818181818181818
"haddadus_binotatus10" 0.47918098 0.859504132231405 0.727272727272727
