"thrs" "AUC" "TSS"
"haddadus_binotatus_all01" 0.47295071 0.84297520661157 0.727272727272727
"haddadus_binotatus_all02" 0.44464578 0.892561983471074 0.818181818181818
"haddadus_binotatus_all03" 0.37789078 0.851239669421488 0.727272727272727
"haddadus_binotatus_all04" 0.47298567 0.809917355371901 0.727272727272727
"haddadus_binotatus_all05" 0.50465568 0.710743801652893 0.545454545454545
"haddadus_binotatus_all06" 0.51122381 0.863636363636364 0.818181818181818
"haddadus_binotatus_all07" 0.51515342 0.822314049586777 0.727272727272727
"haddadus_binotatus_all08" 0.65132012 0.933884297520661 0.909090909090909
"haddadus_binotatus_all09" 0.60708834 0.818181818181818 0.636363636363636
"haddadus_binotatus_all10" 0.49711715 0.87603305785124 0.727272727272727
