"thrs" "AUC" "TSS"
"haddadus_binotatus_part01" 0.47985508 0.938775510204082 0.857142857142857
"haddadus_binotatus_part02" 0.49004696 0.979591836734694 0.857142857142857
"haddadus_binotatus_part03" 0.52022769 0.979591836734694 0.857142857142857
"haddadus_binotatus_part04" 0.66816832 0.897959183673469 0.714285714285714
"haddadus_binotatus_part05" 0.55381103 0.979591836734694 0.857142857142857
"haddadus_binotatus_part06" 0.47303309 1 1
"haddadus_binotatus_part07" 0.23316565 0.857142857142857 0.571428571428571
"haddadus_binotatus_part08" 0.4024715 0.857142857142857 0.714285714285714
"haddadus_binotatus_part09" 0.46418066 0.979591836734694 0.857142857142857
"haddadus_binotatus_part10" 0.48764293 1 1
