"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.36636667 0.936326530612245 0.771428571428571
"haddadus_binotatus02" 0.36723333 0.923265306122449 0.714285714285714
"haddadus_binotatus03" 0.67943333 0.975510204081633 0.828571428571429
"haddadus_binotatus04" 0.43233333 0.96734693877551 0.828571428571429
"haddadus_binotatus05" 0.39356667 0.928163265306122 0.714285714285714
"haddadus_binotatus06" 0.4513 0.949387755102041 0.8
"haddadus_binotatus07" 0.54816667 0.953469387755102 0.828571428571429
"haddadus_binotatus08" 0.43816667 0.966530612244898 0.885714285714286
"haddadus_binotatus09" 0.54411429 0.963265306122449 0.8
"haddadus_binotatus10" 0.39506667 0.950204081632653 0.828571428571429
