"thrs" "AUC" "TSS"
"haddadus_binotatus01" 0.60933996 0.958677685950413 0.909090909090909
"haddadus_binotatus02" 0.6367123 0.90495867768595 0.818181818181818
"haddadus_binotatus03" 0.5675321 0.958677685950413 0.818181818181818
"haddadus_binotatus04" 0.60720437 0.966942148760331 0.909090909090909
"haddadus_binotatus05" 0.09007093 0.991735537190083 0.909090909090909
"haddadus_binotatus06" 0.78334534 0.87603305785124 0.727272727272727
"haddadus_binotatus07" 0.56124375 0.896694214876033 0.818181818181818
"haddadus_binotatus08" 0.5963245 0.909090909090909 0.727272727272727
"haddadus_binotatus09" 0.66451154 0.975206611570248 0.909090909090909
"haddadus_binotatus10" 0.58622165 0.84297520661157 0.636363636363636
