"thrs" "AUC" "TSS"
"haddadus_binotatus_all01" 0.65146562 0.87603305785124 0.818181818181818
"haddadus_binotatus_all02" 0.55234485 0.884297520661157 0.818181818181818
"haddadus_binotatus_all03" 0.16175572 0.900826446280992 0.636363636363636
"haddadus_binotatus_all04" 0.40451621 0.785123966942149 0.636363636363636
"haddadus_binotatus_all05" 0.23754006 0.710743801652893 0.545454545454545
"haddadus_binotatus_all06" 0.4715726 0.880165289256198 0.727272727272727
"haddadus_binotatus_all07" 0.50917654 0.855371900826446 0.727272727272727
"haddadus_binotatus_all08" 0.64692305 0.925619834710744 0.909090909090909
"haddadus_binotatus_all09" 0.75145581 0.785123966942149 0.636363636363636
"haddadus_binotatus_all10" 0.60519635 0.917355371900826 0.818181818181818
