"thrs" "AUC" "TSS"
"haddadus_binotatus_part01" 0.47751261 0.693877551020408 0.571428571428571
"haddadus_binotatus_part02" 0.58214815 0.877551020408163 0.857142857142857
"haddadus_binotatus_part03" 0.85314004 0.836734693877551 0.714285714285714
"haddadus_binotatus_part04" 0.76221428 0.857142857142857 0.714285714285714
"haddadus_binotatus_part05" 0.60922159 1 1
"haddadus_binotatus_part06" 0.42864404 1 1
"haddadus_binotatus_part07" 0.8506983 0.673469387755102 0.571428571428571
"haddadus_binotatus_part08" 0.79548613 0.857142857142857 0.714285714285714
"haddadus_binotatus_part09" 0.89333138 0.897959183673469 0.714285714285714
"haddadus_binotatus_part10" 0.58001858 1 1
